,stimOn_times,feedback_times,goCue_times,probabilityLeft,contrastLeft,contrastRight,feedbackType,choice,firstMovement_times,signed_contrast,laser_stimulation,laser_probability,probe_trial,correct,right_choice,stim_side,time_to_choice,reaction_times,abs_contrast,rt_log,pupil,whisking,sniffing,p_engaged,p_exploratory,p_disengaged,state,state_switch
71,380.986599,389.507199,380.980699,0.8,1.0,,-1.0,-1.0,381.09792919403304,-1.0,0.0,0.0,0,0.0,1.0,-1,8.526499999999999,8.526499999999999,1.0,0.930770796393918,11.499646678617742,6.848093668619792,0.8542371418140209,0.00011814035316389497,0.999881859643779,3.329463768267729e-120,2,1
72,393.319099,394.40049899999997,393.315499,0.8,0.125,,-1.0,-1.0,393.95992919403307,-0.125,0.0,0.0,0,0.0,1.0,-1,1.0849999999999795,1.0849999999999795,0.125,0.03542973818454012,12.345414266282289,6.459421040614446,0.8792554366151794,0.6593304079362169,0.3406695920608311,2.857938519122735e-100,1,1
73,398.41929899999997,402.678299,398.40139899999997,0.8,0.0625,,-1.0,-1.0,402.33792919403305,-0.0625,0.0,0.0,0,0.0,1.0,-1,4.276900000000012,4.276900000000012,0.0625,0.6311290959533502,12.958403102282855,0.4171344484513005,0.2127929335855905,8.775427914583591e-16,0.0009444549592430238,0.9990555450379028,0,1
74,406.73469900000003,407.101199,406.73559900000004,0.8,,1.0,1.0,-1.0,406.86192919403305,1.0,0.0,0.0,0,1.0,1.0,1,0.36559999999997217,0.36559999999997217,1.0,-0.43699381293823925,10.047844371722846,6.876100290815035,0.7104885413392299,0.28796446924214625,0.7120355307551535,4.81394904950697e-137,2,1
75,411.101099,412.629499,411.091499,0.8,0.0625,,-1.0,-1.0,412.3209291940331,-0.0625,0.0,0.0,0,0.0,1.0,-1,1.538000000000011,1.538000000000011,0.0625,0.18695633546541532,11.871788759896459,3.528107243527969,0.6616869879035079,0.0014468110553247007,0.9985531889417584,9.228128400998719e-21,2,0
76,416.45079899999996,416.996199,416.436799,0.8,,0.0625,1.0,-1.0,416.6199291940331,0.0625,0.0,0.0,0,1.0,1.0,1,0.5593999999999824,0.5593999999999824,0.0625,-0.25227753796450525,10.493235079451917,6.635364171738426,0.7397683599411258,0.6499430586981711,0.35005694129893206,1.4014955434002384e-121,1,1
77,421.150999,421.503499,421.144299,0.8,0.0625,,1.0,1.0,421.2889291940331,-0.0625,0.0,0.0,0,1.0,0.0,-1,0.3591999999999871,0.3591999999999871,0.0625,-0.4446636720047489,13.377782068173332,7.288446231683095,0.6457996437573,0.9150452258684726,0.08495477412869175,1.7510833044901084e-172,1,0
78,425.35089899999997,426.518199,425.326999,0.8,0.0625,,1.0,1.0,425.9969291940331,-0.0625,0.0,0.0,0,1.0,0.0,-1,1.1911999999999807,1.1911999999999807,0.0625,0.0759846847441127,11.257049708095446,7.3085697482029595,1.0351041606810918,0.9661460747057032,0.033853925291413296,6.912009869620425e-124,1,0
79,434.33369899999997,434.886199,434.334799,0.8,0.0,,1.0,1.0,434.4489291940331,-0.0,1.0,0.25,1,1.0,0.0,-1,0.551400000000001,0.551400000000001,0.0,-0.2585332382302443,11.981131132035298,8.384374549984932,1.0928319001404543,0.9860163272303569,0.013983672766813551,1.273512134258062e-175,1,0
80,437.733499,438.605999,437.730099,0.8,0.0625,,-1.0,-1.0,438.2609291940331,-0.0625,0.0,0.0,0,0.0,1.0,-1,0.8759000000000015,0.8759000000000015,0.0625,-0.057545473657522175,13.099152913370432,5.751415950059891,1.917238925484877,0.9999999999974989,2.103038798928559e-24,8.153958045937237e-50,1,0
