,log_likelihood,n_states,subject,pid
13,-18519.25725136099,15,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
14,-18499.391031644205,16,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
15,-18470.527723471227,17,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
16,-18573.536609224597,18,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
17,-18512.37481695228,19,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
18,-18509.93185308852,20,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33
0,-6699.7487875139495,2,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
1,-6610.24651654634,3,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
2,-6589.671875710899,4,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
3,-6555.206430380964,5,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
4,-6508.678870045711,6,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
5,-6490.0183223353615,7,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
6,-6479.156852256892,8,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
7,-6472.5057433681695,9,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
8,-6476.140409037769,10,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
9,-6459.487387496302,11,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
10,-6445.552880501481,12,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
11,-6483.153055349668,13,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
12,-6511.763605855394,14,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
13,-6492.749685125143,15,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
14,-6452.237483162588,16,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
15,-6441.188183200607,17,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
16,-6495.6453616858635,18,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
17,-6475.47349885723,19,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
18,-6492.868822985745,20,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d
0,-29760.099561427367,2,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
1,-29369.493496969277,3,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
2,-29064.10940403733,4,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
3,-28812.245724288026,5,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
4,-28805.54371238577,6,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
5,-28745.488575798947,7,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
6,-28504.41746024863,8,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
7,-28652.698567637523,9,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
8,-28491.302242862053,10,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
9,-28463.227261167405,11,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
10,-28489.04085865517,12,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
11,-28402.366659981282,13,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
12,-28286.848592926963,14,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
13,-28354.400439872057,15,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
14,-28347.13039721,16,ZFM-03331,2cd25262-6818-4b21-9f25-8b8f938c5e37
