,dg_spike_freq,time,subject,date,probe,pid
6,8.974415224572803e-14,0.625,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
7,2.836706264218803e-23,0.875,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
8,1.7309401997224347e-35,1.125,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
9,2.0389625485026046e-50,1.375,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
10,1.0194812742513023e-50,1.625,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
11,8.654700998612169e-36,1.875,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
12,1.418353132108969e-23,2.125,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
13,4.487207611577225e-14,2.375,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
14,2.7404850890754094e-07,2.625,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
15,0.003231009323775676,2.875,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
16,0.07353743325538596,3.125,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
17,0.0032312833722845835,3.375,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
18,0.0032312833722845835,3.625,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
19,0.07353743325538596,3.875,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
0,1.469642285947459e-137,-0.875,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
1,8.983519243067872e-112,-0.625,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
2,1.0600854007000426e-88,-0.375,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
3,2.4148752071125173e-68,-0.125,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
4,1.0619596606784399e-50,0.125,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
5,9.015313540221009e-36,0.375,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
6,1.477451179280176e-23,0.625,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
7,4.6741745953929424e-14,0.875,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
8,2.8546719677868847e-07,1.125,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
9,0.003365634712266329,1.375,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
10,0.07660149297431364,1.625,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
11,0.003365634712266329,1.875,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
12,2.8546719677868847e-07,2.125,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
13,9.348349190785885e-14,2.375,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
14,2.8546719677868847e-07,2.625,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
15,0.003365634712266329,2.875,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
16,0.07660149297431364,3.125,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
17,0.003365634712266329,3.375,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
18,2.8546719677868847e-07,3.625,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
19,4.6741745953929424e-14,3.875,ZFM-03323,2022-04-06,probe00,f06f5a5e-2e8a-4cf0-ac5f-8d14aeec4c98
0,0.07676871662771542,-0.875,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
1,0.006462566744569167,-0.625,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
2,0.07676871662767054,-0.375,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
3,0.07676844257925138,-0.125,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
4,0.0032318314693472704,0.125,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
5,0.006462566744614039,0.375,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
6,0.15030587583450272,0.625,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
7,0.07999945190289244,0.875,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
8,0.0032315574208383628,1.125,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
9,5.480971524313102e-07,1.375,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
10,0.0032312833723743277,1.625,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
11,0.07676871662762567,1.875,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
12,0.07999945190293731,2.125,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
13,0.07676899067617945,2.375,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
14,0.006462566744614037,2.625,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
15,0.07676871662771542,2.875,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
16,0.07676871662771542,3.125,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
17,0.006462566744569167,3.375,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
18,0.07676871662767054,3.625,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
19,0.07676844257925138,3.875,ZFM-03331,2022-03-08,probe00,2cd25262-6818-4b21-9f25-8b8f938c5e37
0,4.487207611577225e-14,-0.875,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
1,1.418353132108969e-23,-0.625,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
2,8.654700998612169e-36,-0.375,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
3,1.0194812742513023e-50,-0.125,ZFM-03329,2022-03-03,probe00,c9a47fb2-3348-4184-8c08-c7e4940e9264
