,psd_max,psd_mean,region,subject,date
26,2712.9786513640993,826.5911207893871,Hippocampus,ZFM-04300,2022-09-20
27,20343.56628561225,6559.88285932306,Midbrain,ZFM-04300,2022-09-19
28,255.735345135208,101.70034355981969,Cortex,ZFM-04300,2022-09-19
29,1423.3835708620704,724.2130915465287,Hippocampus,ZFM-04300,2022-09-19
30,80697.32100979853,27640.56195542032,Thalamus,ZFM-04300,2022-09-19
31,19927.81689779226,5906.9607351772465,Cortex,ZFM-04083,2022-07-21
32,2738.7503144068924,1573.8238620813754,Midbrain,ZFM-04083,2022-07-21
33,1053.53230390455,308.0018392566685,Cortex,ZFM-04083,2022-07-20
34,825.3307065181648,267.97747636564566,Striatum,ZFM-04083,2022-07-20
35,288.09579364856006,121.97755195125058,Hippocampus,ZFM-04083,2022-07-20
36,12356.91214721516,5524.081443546965,Thalamus,ZFM-04083,2022-07-20
37,23514.922437473393,6578.283088989656,Cortex,ZFM-04083,2022-07-19
38,2198.621221071541,575.6822061723319,Hippocampus,ZFM-04083,2022-07-19
39,5755.889904146296,1936.5455646911796,Thalamus,ZFM-04083,2022-07-19
40,1002.9141059575123,447.11863443473266,Cortex,ZFM-04080,2022-07-07
41,6542.545187359593,2682.197671393609,Hippocampus,ZFM-04080,2022-07-07
42,202.93861166216433,73.80085904109544,Amygdala,ZFM-04080,2022-07-06
43,317.7235454826569,184.4643772541637,Hippocampus,ZFM-04080,2022-07-06
44,22855.556211076437,9047.198253740831,Cortex,ZFM-04080,2022-07-05
45,2138.996718629206,702.295238136388,Hippocampus,ZFM-04080,2022-07-05
46,7015.858373455011,2214.399585471621,Midbrain,ZFM-04080,2022-07-05
47,1582.2443849467918,767.0065857322772,Cortex,ZFM-04122,2022-05-13
48,777.2693414230824,311.25341956883057,Striatum,ZFM-04122,2022-05-13
49,211.0608881724517,91.96078003392961,Midbrain,ZFM-04122,2022-05-12
50,510.5123307930628,227.91611668131196,Amygdala,ZFM-04122,2022-05-10
51,492.40830477122415,252.3561793546669,Hippocampus,ZFM-04122,2022-05-10
52,6805.725481357169,2587.693357804729,Cortex,ZFM-03324,2022-04-14
53,16136.324037766653,6792.420098638283,Midbrain,ZFM-03324,2022-04-14
54,30459.081656995168,10691.916807702835,Cortex,ZFM-03324,2022-04-13
55,1063.2290072579792,535.930039691603,Cortex,ZFM-03324,2022-04-12
56,636.9908042702464,274.4962186029794,Striatum,ZFM-03324,2022-04-12
57,2749.313281288133,1649.9689068485059,Cortex,ZFM-03323,2022-04-08
58,2725.1065562445865,844.6542469035581,Striatum,ZFM-03323,2022-04-08
59,9543.778048545362,1803.1731875583023,Midbrain,ZFM-03323,2022-04-07
60,5977.352610358978,1500.436934643576,Cortex,ZFM-03323,2022-04-07
61,14671.308921939673,4739.815161805067,Midbrain,ZFM-03323,2022-04-06
62,1890.602275993837,663.8849745802125,Thalamus,ZFM-03323,2022-04-06
63,717.5286211344129,351.88139821145285,Cortex,ZFM-03323,2022-04-06
64,2997.5173934268587,1286.9002617554484,Hippocampus,ZFM-03323,2022-04-06
65,70149.65642649104,19513.13154440389,Thalamus,ZFM-03323,2022-04-06
