mutual_information,mi_over_baseline,time,region_1,region_2,region_pair,subject,eid,date,sert-cre
0.03065886619195412,-0.012306603964945262,1.8250000000000002,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.03267173078853573,-0.010293739368363648,1.875,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.03274723477582277,-0.010218235381076614,1.9250000000000003,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.02664585940303848,-0.016319610753860903,1.975,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.051135383566234545,0.008169913409335164,2.0250000000000004,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.026998242654774057,-0.015967227502125324,2.075,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.03565888342388669,-0.007306586733012689,2.125,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.025765091375110644,-0.017200378781788737,2.175,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.027653060296982276,-0.015312409859917105,2.225,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.021891526176240694,-0.021073943980658687,2.2750000000000004,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.02283237679289804,-0.02013309336400134,2.325,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.02910154647529816,-0.01386392368160122,2.375,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.03187794181446852,-0.01108752834243086,2.4250000000000003,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.05258541897948838,0.009619948822589,2.475,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.05187486915618454,0.00890939899928516,2.5250000000000004,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.02471264410004534,-0.018252826056854042,2.575,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.06229360507009728,0.019328134913197896,2.625,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.03342972583790392,-0.00953574431899546,2.6750000000000003,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.019785359907413775,-0.023180110249485606,2.725,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.02865430413408197,-0.014311166022817411,2.7750000000000004,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.04218690246149761,-0.0007785676954017717,2.825,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.037923140028458216,-0.005042330128441165,2.875,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
0.040528424748872784,-0.0024370454080265974,2.9250000000000003,SC,mPFC,SC-mPFC,ZFM-03330,5244890d-9353-4cfe-a18e-23481883e3a4,2022-02-16,1
