,log_likelihood,n_states,subject,pid
14,-40301.66673393542,16,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
15,-40291.37863405064,17,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
16,-40217.64885947137,18,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
17,-40350.43683572507,19,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
18,-40111.694055866814,20,ZFM-05170,3dbad004-4cc5-42ad-a5a1-fba9e5fbcc41
0,-61550.394134715636,2,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
1,-61049.10375807974,3,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
2,-60541.84768343301,4,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
3,-59887.46657694969,5,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
4,-59546.60113578895,6,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
5,-59412.798663372305,7,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
6,-59168.188832880725,8,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
7,-59296.36164185913,9,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
8,-59003.55274961725,10,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
9,-58986.02470222787,11,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
10,-58805.34268190314,12,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
11,-58999.2397584273,13,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
12,-58878.23044741674,14,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
13,-58893.33307954655,15,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
14,-58834.81594792827,16,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
15,-58577.48105761302,17,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
16,-58545.002814650754,18,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
17,-58887.28352997598,19,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
18,-58455.67773372131,20,ZFM-05170,985707c8-27a6-4f20-b08b-8e60b3e8b00b
0,-153733.04116617792,2,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
1,-147227.3549287476,3,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
2,-145581.09162600682,4,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
3,-145235.57448951944,5,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
4,-144388.15165872045,6,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
5,-144406.80668731625,7,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
6,-143988.6778605398,8,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
7,-144166.5083005108,9,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
8,-144201.20544814068,10,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
9,-144115.63346198507,11,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
10,-143572.7173614551,12,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
11,-143276.34996538947,13,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
12,-143417.59662018836,14,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
13,-143472.36805956328,15,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
14,-143198.5761886146,16,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
15,-144031.9938840978,17,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
16,-143495.7631531925,18,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
17,-144573.73803221405,19,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
18,-143383.43890409853,20,ZFM-04811,183b9938-9872-4ba5-afbd-372ac9adffc7
0,-49863.77812026669,2,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
1,-49123.107931526334,3,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
2,-48672.73172064839,4,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
3,-48487.97578172354,5,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
4,-48330.68095852418,6,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
5,-48220.78280372714,7,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
6,-48098.2806160249,8,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
7,-47983.56117003739,9,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
8,-47867.042946730835,10,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
9,-47896.11725567285,11,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
10,-47823.90176039901,12,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
11,-47806.42745324603,13,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
12,-47854.003736187784,14,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
13,-47817.46571912258,15,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
14,-47849.562055344766,16,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
15,-47816.41654370874,17,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
16,-47691.740865093336,18,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
17,-47664.22722476982,19,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
18,-47756.68641100195,20,ZFM-04811,84017f2c-f02a-4887-870b-fdc53a8af398
0,-45240.246975000315,2,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
1,-44240.254961757295,3,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
2,-43930.21479736164,4,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
3,-43462.66932721006,5,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
4,-43338.04341802482,6,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
5,-42940.66120561386,7,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
6,-42877.43061911362,8,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
7,-42803.17033747796,9,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
8,-42723.73251907996,10,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
