,log_likelihood,n_states,region,subject,pid
14,-170115.56965071522,16,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
15,-169912.4324054655,17,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
16,-169797.05913014765,18,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
17,-169736.58880625886,19,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
18,-169607.04429571144,20,Thalamus,ZFM-04823,a72a6d2d-0038-4336-9faa-61781c91421e
0,-166286.4691313347,2,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
1,-163579.17841317676,3,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
2,-161718.75093120092,4,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
3,-160190.21917271943,5,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
4,-158902.1359536124,6,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
5,-158228.37153563468,7,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
6,-157232.41445351997,8,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
7,-156902.88447692656,9,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
8,-156050.49628703526,10,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
9,-155697.84633865207,11,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
10,-155439.92330895315,12,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
11,-155069.39970294246,13,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
12,-154812.894791029,14,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
13,-154353.61520748012,15,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
14,-154269.0445724916,16,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
15,-153987.9819735726,17,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
16,-153653.81895896196,18,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
17,-153425.6976773163,19,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
18,-153496.94340626613,20,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
0,-193000.6936620012,2,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
1,-188527.63313793135,3,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
2,-186803.03739728557,4,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
3,-183145.28217457663,5,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
4,-181508.53135617936,6,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
5,-180645.24115001355,7,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
6,-179567.7178697326,8,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
7,-178994.20636927013,9,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
8,-177927.82886786046,10,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
9,-177459.63401689765,11,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
10,-176979.1824317752,12,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
11,-176567.03570528043,13,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
12,-176318.2605932841,14,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
13,-175515.9694928729,15,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
14,-175578.37483443905,16,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
15,-174933.94796158918,17,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
16,-174558.51409955317,18,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
17,-174684.57653866682,19,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
18,-174152.7194646093,20,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
0,-51248.8698768399,2,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
1,-50378.04745223232,3,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
2,-49865.46190995382,4,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
3,-49534.21966500845,5,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
4,-49241.22224265854,6,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
5,-48931.73198008719,7,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
6,-48781.072705093684,8,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
7,-48659.83097618636,9,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
8,-48530.32703544777,10,Sensory,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
