state,r,p,subject,date,region,file_name
3,0.0,0.0,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
4,0.0,5e-324,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
5,0.0,1e-323,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
6,0.0,1.5e-323,ZFM-02600,2021-08-27,Thal.,ZFM-02600_2021-08-27_Thal..pickle
0,0.0,0.0,ZFM-02600,2021-08-27,VIS,ZFM-02600_2021-08-27_VIS.pickle
1,0.0,0.0,ZFM-02600,2021-08-27,VIS,ZFM-02600_2021-08-27_VIS.pickle
2,0.0,5e-324,ZFM-02600,2021-08-27,VIS,ZFM-02600_2021-08-27_VIS.pickle
3,0.0,0.0,ZFM-02600,2021-08-27,VIS,ZFM-02600_2021-08-27_VIS.pickle
4,0.0,5e-324,ZFM-02600,2021-08-27,VIS,ZFM-02600_2021-08-27_VIS.pickle
5,0.0,1e-323,ZFM-02600,2021-08-27,VIS,ZFM-02600_2021-08-27_VIS.pickle
6,0.0,1.5e-323,ZFM-02600,2021-08-27,VIS,ZFM-02600_2021-08-27_VIS.pickle
0,-0.1501305338116012,0.0002525242662592675,ZFM-02600,2021-08-28,BC,ZFM-02600_2021-08-28_BC.pickle
1,0.16041113864492412,9.097533484863214e-05,ZFM-02600,2021-08-28,BC,ZFM-02600_2021-08-28_BC.pickle
2,-0.1241115573622804,0.002528164570425194,ZFM-02600,2021-08-28,BC,ZFM-02600_2021-08-28_BC.pickle
3,0.28529722310143685,1.6359200321188353e-12,ZFM-02600,2021-08-28,BC,ZFM-02600_2021-08-28_BC.pickle
4,0.1504767160295546,0.0002442427956339229,ZFM-02600,2021-08-28,BC,ZFM-02600_2021-08-28_BC.pickle
5,-0.07135055425770294,0.08333927918477817,ZFM-02600,2021-08-28,BC,ZFM-02600_2021-08-28_BC.pickle
6,-0.3013675899045903,7.475015065772898e-14,ZFM-02600,2021-08-28,BC,ZFM-02600_2021-08-28_BC.pickle
0,-0.219071595295634,7.642302544571964e-08,ZFM-02600,2021-08-28,M2,ZFM-02600_2021-08-28_M2.pickle
1,-0.08078720667775893,0.04983707359141865,ZFM-02600,2021-08-28,M2,ZFM-02600_2021-08-28_M2.pickle
