,log_likelihood,n_states,region,subject,pid
8,-8265.02518645351,10,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
9,-8281.396053080824,11,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
10,-8263.114362479531,12,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
11,-8247.977228382519,13,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
12,-8300.88117090209,14,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
13,-8276.819820854615,15,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
14,-8278.145349430033,16,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
15,-8280.153255483541,17,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
16,-8320.285272027044,18,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
17,-8284.582964722114,19,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
18,-8316.13975088406,20,Midbrain,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4
0,-1506.1793159708864,2,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
1,-1416.5832933954064,3,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
2,-1382.5734406830036,4,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
3,-1349.6214752690128,5,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
4,-1320.1442179360097,6,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
5,-1315.2997081345675,7,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
6,-1304.3746137646547,8,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
7,-1309.936772687885,9,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
8,-1301.383235516453,10,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
9,-1306.1567610164839,11,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
10,-1310.0745618361943,12,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
11,-1315.0871085532335,13,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
12,-1301.185401107744,14,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
13,-1302.7629128306805,15,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
14,-1297.1822640769906,16,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
15,-1318.9702559131817,17,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
16,-1311.2627250357405,18,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
17,-1307.9114069227094,19,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
18,-1303.7731229763044,20,Striatum,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a
0,-7085.6498034072965,2,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
1,-6975.784508381362,3,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
2,-6896.751582608379,4,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
3,-6875.522854746983,5,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
4,-6851.340572839471,6,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
5,-6817.3995107836945,7,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
6,-6782.436921918219,8,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
7,-6769.744593162865,9,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
8,-6784.5652203789305,10,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
9,-6771.041915692858,11,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
10,-6759.45761760785,12,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
11,-6736.5349511891345,13,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
12,-6731.446167256682,14,Hippocampus,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6
