,log_likelihood,n_states,subject,pid,region
10,-1732.8319211468015,12,ZFM-04811,05db6d4d-cfda-4686-b485-481423912b33,Thalamus
0,-8040.662448264538,2,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
1,-7895.764228592109,3,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
2,-7864.697218605839,4,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
3,-7754.958762125865,5,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
4,-7728.841668598236,6,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
5,-7689.22403778847,7,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
6,-7716.552420918597,8,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
7,-7654.491789592965,9,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
8,-7645.703528189099,10,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
9,-7633.45574242575,11,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
10,-7626.655658484112,12,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0,-1506.179292490567,2,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a,Striatum
1,-1416.5832933954064,3,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a,Striatum
2,-1378.5466470981803,4,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a,Striatum
3,-1366.0155117179218,5,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a,Striatum
4,-1336.0533987505398,6,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a,Striatum
5,-1315.7608010386077,7,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a,Striatum
6,-1312.1723989354323,8,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a,Striatum
7,-1294.6857999013305,9,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a,Striatum
8,-1317.2096914024576,10,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a,Striatum
9,-1299.401753922864,11,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a,Striatum
10,-1306.363358124656,12,ZFM-04811,e48c0695-b465-4e44-9020-2a19ecca414a,Striatum
0,-7085.773992719893,2,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6,Hippocampus
1,-6975.751697234029,3,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6,Hippocampus
2,-6897.504436220193,4,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6,Hippocampus
3,-6875.525906314162,5,ZFM-04300,3ac05dd2-a294-4939-a837-93fe5ca543b6,Hippocampus
