,log_likelihood,n_states,subject,pid,region
8,-2508.3763685109902,10,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Hippocampus
9,-2506.272834034189,11,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Hippocampus
10,-2505.9089142812645,12,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Hippocampus
0,-10447.326603112155,2,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Sensory cortex
1,-10330.42539630368,3,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Sensory cortex
2,-10271.769088629791,4,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Sensory cortex
3,-10186.756665146713,5,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Sensory cortex
4,-10108.207375170648,6,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Sensory cortex
5,-10039.478844325164,7,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Sensory cortex
6,-10018.45832720887,8,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Sensory cortex
7,-9986.664181776985,9,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Sensory cortex
8,-9975.280995444755,10,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Sensory cortex
9,-9944.43631424654,11,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Sensory cortex
10,-9969.734523192556,12,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Sensory cortex
0,-8507.859340886747,2,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Thalamus
1,-8348.465302316721,3,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Thalamus
2,-8264.25204254021,4,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Thalamus
3,-8262.750731821468,5,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Thalamus
4,-8251.328928886232,6,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Thalamus
5,-8175.398549147659,7,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Thalamus
6,-8199.616890351957,8,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Thalamus
7,-8129.798318435285,9,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Thalamus
8,-8164.194286277788,10,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Thalamus
9,-8100.764041062323,11,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Thalamus
10,-8136.381213820313,12,ZFM-04083,87ddbc18-7a81-49f7-a9fb-d0add506ee27,Thalamus
0,-5437.116246323775,2,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Hippocampus
1,-5037.5621417937855,3,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Hippocampus
2,-4964.001273969707,4,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Hippocampus
3,-4919.8477890845525,5,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Hippocampus
4,-4876.406922031687,6,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Hippocampus
5,-4866.70830069575,7,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Hippocampus
6,-4821.948285451939,8,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Hippocampus
7,-4825.4240856898,9,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Hippocampus
8,-4789.166874454432,10,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Hippocampus
9,-4776.512667482921,11,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Hippocampus
10,-4760.099509349842,12,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Hippocampus
0,-2154.700171234446,2,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Sensory cortex
1,-2104.260245737908,3,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Sensory cortex
2,-2089.22896028911,4,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Sensory cortex
3,-2081.481356303866,5,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Sensory cortex
4,-2026.7232456106335,6,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Sensory cortex
5,-2029.0167993054183,7,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Sensory cortex
6,-2025.2215347341967,8,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Sensory cortex
7,-2019.9767208695557,9,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Sensory cortex
8,-2030.9276815980745,10,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Sensory cortex
9,-2018.6767625688044,11,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Sensory cortex
10,-2030.1704773109814,12,ZFM-04080,8f914cf1-3466-4fa4-a49d-a8c9182da684,Sensory cortex
0,-1532.9742727596513,2,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Amygdala
1,-1523.156256604588,3,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Amygdala
2,-1506.246053020143,4,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Amygdala
3,-1512.402917930479,5,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Amygdala
4,-1509.5570361892355,6,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Amygdala
5,-1512.5709673202525,7,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Amygdala
6,-1522.9319198784904,8,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Amygdala
7,-1508.3307193552384,9,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Amygdala
8,-1509.1814121784844,10,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Amygdala
9,-1516.7398024787212,11,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Amygdala
10,-1510.958984001337,12,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Amygdala
0,-1664.2432618230935,2,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Hippocampus
1,-1643.9746187119495,3,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Hippocampus
2,-1639.1069817551074,4,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Hippocampus
3,-1644.486964744877,5,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Hippocampus
4,-1638.9109882503612,6,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Hippocampus
5,-1644.8865721552934,7,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Hippocampus
6,-1643.7476132285062,8,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Hippocampus
7,-1638.6234730756173,9,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Hippocampus
8,-1642.385515824118,10,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Hippocampus
9,-1646.245318352188,11,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Hippocampus
10,-1647.4171006915606,12,ZFM-04080,a0651da1-582c-4df1-ae78-4eafef6b17dc,Hippocampus
0,-5204.960865058713,2,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Hippocampus
1,-5026.080121837133,3,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Hippocampus
2,-4940.435294255895,4,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Hippocampus
3,-4890.55937442364,5,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Hippocampus
4,-4859.746446353277,6,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Hippocampus
5,-4838.9774193181765,7,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Hippocampus
6,-4806.511013291909,8,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Hippocampus
7,-4776.144913352421,9,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Hippocampus
8,-4789.696320377672,10,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Hippocampus
9,-4752.205832250407,11,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Hippocampus
10,-4734.980647431893,12,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Hippocampus
0,-4972.419618437276,2,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Midbrain
1,-4919.861248257275,3,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Midbrain
2,-4885.845458992716,4,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Midbrain
3,-4878.613986954591,5,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Midbrain
4,-4833.366366598016,6,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Midbrain
5,-4807.7670823056915,7,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Midbrain
6,-4827.857814676756,8,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Midbrain
7,-4803.732383650906,9,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Midbrain
8,-4795.877388075411,10,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Midbrain
9,-4712.223223791976,11,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Midbrain
10,-4713.798548900788,12,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Midbrain
0,-10385.309142069114,2,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Sensory cortex
1,-10003.08290512011,3,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Sensory cortex
2,-9799.389030918708,4,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Sensory cortex
3,-9679.44412356382,5,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Sensory cortex
4,-9477.51497926004,6,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Sensory cortex
5,-9553.800626999426,7,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Sensory cortex
6,-9386.973107887357,8,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Sensory cortex
7,-9339.143680527513,9,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Sensory cortex
8,-9323.896278506516,10,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Sensory cortex
9,-9332.619079152977,11,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Sensory cortex
10,-9287.296935090417,12,ZFM-04080,c941ee0a-5552-4a96-9464-f57c95c7837c,Sensory cortex
0,-6253.054682258047,2,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Sensory cortex
1,-6181.908726164052,3,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Sensory cortex
2,-6159.17222498296,4,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Sensory cortex
3,-6138.096616531993,5,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Sensory cortex
4,-6141.337841006066,6,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Sensory cortex
5,-6128.276782727736,7,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Sensory cortex
6,-6118.436661390482,8,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Sensory cortex
7,-6114.523561423805,9,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Sensory cortex
8,-6104.0398095822675,10,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Sensory cortex
9,-6093.025754396255,11,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Sensory cortex
10,-6079.701915320278,12,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Sensory cortex
0,-3945.474319595374,2,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Striatum
1,-3857.294005548223,3,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Striatum
2,-3825.395111272689,4,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Striatum
3,-3829.1673245049274,5,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Striatum
4,-3808.7144961942467,6,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Striatum
5,-3765.947581838417,7,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Striatum
6,-3765.962018248858,8,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Striatum
7,-3750.6976239561627,9,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Striatum
8,-3758.7237030422452,10,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Striatum
9,-3738.944995364094,11,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Striatum
10,-3694.4060177842603,12,ZFM-04122,fd4d4d6b-f2e3-464d-8604-084265d32b76,Striatum
0,-2695.8055138192794,2,ZFM-04122,09249aa4-006c-4aa9-b86a-215da86e1778,Midbrain
1,-2641.4508033664606,3,ZFM-04122,09249aa4-006c-4aa9-b86a-215da86e1778,Midbrain
2,-2619.8067815112167,4,ZFM-04122,09249aa4-006c-4aa9-b86a-215da86e1778,Midbrain
3,-2634.512261127217,5,ZFM-04122,09249aa4-006c-4aa9-b86a-215da86e1778,Midbrain
4,-2634.844213127663,6,ZFM-04122,09249aa4-006c-4aa9-b86a-215da86e1778,Midbrain
5,-2581.7196933913656,7,ZFM-04122,09249aa4-006c-4aa9-b86a-215da86e1778,Midbrain
6,-2594.12199054381,8,ZFM-04122,09249aa4-006c-4aa9-b86a-215da86e1778,Midbrain
7,-2568.421507986877,9,ZFM-04122,09249aa4-006c-4aa9-b86a-215da86e1778,Midbrain
8,-2577.3071288979218,10,ZFM-04122,09249aa4-006c-4aa9-b86a-215da86e1778,Midbrain
9,-2596.8356520992083,11,ZFM-04122,09249aa4-006c-4aa9-b86a-215da86e1778,Midbrain
10,-2590.8612097878204,12,ZFM-04122,09249aa4-006c-4aa9-b86a-215da86e1778,Midbrain
0,-5058.792766155617,2,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Amygdala
1,-4991.302857566361,3,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Amygdala
2,-4941.988291123788,4,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Amygdala
3,-4868.27994267181,5,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Amygdala
4,-4844.46399968334,6,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Amygdala
5,-4820.887658445195,7,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Amygdala
6,-4837.770509650527,8,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Amygdala
7,-4788.462609093056,9,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Amygdala
8,-4818.769595982943,10,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Amygdala
9,-4770.80545415563,11,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Amygdala
10,-4783.372529205802,12,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Amygdala
0,-841.6196117072329,2,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Hippocampus
1,-837.2929902401436,3,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Hippocampus
2,-822.3638184078652,4,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Hippocampus
3,-819.8373264430321,5,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Hippocampus
4,-823.4034184308412,6,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Hippocampus
5,-812.5937642082929,7,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Hippocampus
6,-819.4741901151326,8,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Hippocampus
7,-815.5410650571571,9,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Hippocampus
8,-814.0548585455242,10,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Hippocampus
9,-813.5875875176606,11,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Hippocampus
10,-811.8131279828508,12,ZFM-04122,fb97e357-0c74-43a4-9556-1f18d6d63f9d,Hippocampus
0,-8786.415800365423,2,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Frontal cortex
1,-8640.41145224356,3,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Frontal cortex
2,-8583.69569024193,4,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Frontal cortex
3,-8529.03730316288,5,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Frontal cortex
4,-8511.77911216636,6,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Frontal cortex
5,-8480.679875849182,7,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Frontal cortex
6,-8401.518760684623,8,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Frontal cortex
7,-8432.032900027752,9,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Frontal cortex
8,-8427.559964893084,10,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Frontal cortex
9,-8449.476729942025,11,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Frontal cortex
10,-8374.53659701469,12,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Frontal cortex
0,-4232.184695401933,2,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Sensory cortex
1,-4136.104906693553,3,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Sensory cortex
2,-4058.992546395159,4,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Sensory cortex
3,-3981.187039865054,5,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Sensory cortex
4,-3961.819150411285,6,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Sensory cortex
5,-3930.197598358009,7,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Sensory cortex
6,-3915.4910901365047,8,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Sensory cortex
7,-3869.2627544244488,9,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Sensory cortex
8,-3868.342453013647,10,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Sensory cortex
9,-3867.400762330068,11,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Sensory cortex
10,-3864.2831514418167,12,ZFM-03324,15589ad2-9972-445e-bf76-faffbffa56d8,Sensory cortex
0,-26069.73079354004,2,ZFM-03324,b9dd6c90-7984-4bb1-a095-6f5407e75a70,Midbrain
1,-25648.027414280623,3,ZFM-03324,b9dd6c90-7984-4bb1-a095-6f5407e75a70,Midbrain
2,-25581.52057473294,4,ZFM-03324,b9dd6c90-7984-4bb1-a095-6f5407e75a70,Midbrain
3,-25330.988074666355,5,ZFM-03324,b9dd6c90-7984-4bb1-a095-6f5407e75a70,Midbrain
4,-25397.948290453354,6,ZFM-03324,b9dd6c90-7984-4bb1-a095-6f5407e75a70,Midbrain
5,-25422.480666915937,7,ZFM-03324,b9dd6c90-7984-4bb1-a095-6f5407e75a70,Midbrain
6,-25364.27364406493,8,ZFM-03324,b9dd6c90-7984-4bb1-a095-6f5407e75a70,Midbrain
7,-25118.292314525002,9,ZFM-03324,b9dd6c90-7984-4bb1-a095-6f5407e75a70,Midbrain
8,-25337.547090884185,10,ZFM-03324,b9dd6c90-7984-4bb1-a095-6f5407e75a70,Midbrain
9,-25265.56762730127,11,ZFM-03324,b9dd6c90-7984-4bb1-a095-6f5407e75a70,Midbrain
10,-25236.737091217197,12,ZFM-03324,b9dd6c90-7984-4bb1-a095-6f5407e75a70,Midbrain
0,-32989.74580562561,2,ZFM-03324,2040786c-773d-46e4-88dc-eb61beab2ef9,Frontal cortex
1,-31605.163733408197,3,ZFM-03324,2040786c-773d-46e4-88dc-eb61beab2ef9,Frontal cortex
2,-31132.67397682245,4,ZFM-03324,2040786c-773d-46e4-88dc-eb61beab2ef9,Frontal cortex
3,-31051.63296188935,5,ZFM-03324,2040786c-773d-46e4-88dc-eb61beab2ef9,Frontal cortex
4,-30845.94854177851,6,ZFM-03324,2040786c-773d-46e4-88dc-eb61beab2ef9,Frontal cortex
5,-30730.55868519117,7,ZFM-03324,2040786c-773d-46e4-88dc-eb61beab2ef9,Frontal cortex
6,-30497.533227376094,8,ZFM-03324,2040786c-773d-46e4-88dc-eb61beab2ef9,Frontal cortex
7,-30660.45487150221,9,ZFM-03324,2040786c-773d-46e4-88dc-eb61beab2ef9,Frontal cortex
8,-30607.53437791212,10,ZFM-03324,2040786c-773d-46e4-88dc-eb61beab2ef9,Frontal cortex
9,-30562.285626399585,11,ZFM-03324,2040786c-773d-46e4-88dc-eb61beab2ef9,Frontal cortex
10,-30717.64471195258,12,ZFM-03324,2040786c-773d-46e4-88dc-eb61beab2ef9,Frontal cortex
0,-1975.0598411446229,2,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Hippocampus
1,-1959.9270334821356,3,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Hippocampus
2,-1928.9233510089903,4,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Hippocampus
3,-1914.7392371000437,5,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Hippocampus
4,-1907.2198573459932,6,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Hippocampus
5,-1911.8668485712788,7,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Hippocampus
6,-1910.302256552974,8,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Hippocampus
7,-1900.535226121096,9,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Hippocampus
8,-1911.6295224502564,10,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Hippocampus
9,-1890.6755047900058,11,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Hippocampus
10,-1901.7117217791279,12,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Hippocampus
0,-4534.851734016632,2,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Sensory cortex
1,-4461.152102706529,3,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Sensory cortex
2,-4422.149333770225,4,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Sensory cortex
3,-4409.286808013523,5,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Sensory cortex
4,-4394.058384103442,6,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Sensory cortex
5,-4356.664219448022,7,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Sensory cortex
6,-4352.777878426963,8,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Sensory cortex
7,-4330.87388661152,9,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Sensory cortex
8,-4341.39210183316,10,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Sensory cortex
9,-4347.3246349190085,11,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Sensory cortex
10,-4330.619641359281,12,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Sensory cortex
0,-3071.0346599554764,2,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Striatum
1,-3001.0524589574848,3,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Striatum
2,-2966.1778286142544,4,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Striatum
3,-2933.146920055199,5,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Striatum
4,-2938.3114351196305,6,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Striatum
5,-2907.6979661963346,7,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Striatum
6,-2908.1223829774626,8,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Striatum
7,-2896.4128333663793,9,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Striatum
8,-2877.3306161808423,10,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Striatum
9,-2860.0993722954126,11,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Striatum
10,-2847.2533424795415,12,ZFM-03324,7fa93f93-4c54-48bf-a4b2-4ef35134c5a3,Striatum
0,-8459.728282569034,2,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Sensory cortex
1,-8388.484425336726,3,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Sensory cortex
2,-8358.032767564502,4,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Sensory cortex
3,-8313.672631928674,5,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Sensory cortex
4,-8236.749009592731,6,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Sensory cortex
5,-8223.934190382166,7,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Sensory cortex
6,-8232.781254927157,8,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Sensory cortex
7,-8158.774764430174,9,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Sensory cortex
8,-8192.46947998759,10,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Sensory cortex
9,-8205.431545537616,11,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Sensory cortex
10,-8182.454657127204,12,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Sensory cortex
0,-7363.63513204347,2,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Striatum
1,-7306.419472135013,3,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Striatum
2,-7188.076472167218,4,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Striatum
3,-7183.958698208187,5,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Striatum
4,-7064.0010927570975,6,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Striatum
5,-7125.83980479419,7,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Striatum
6,-7166.944563280342,8,ZFM-03323,a693580e-8dea-4b31-a9e4-5266b1d22855,Striatum
