,ripple_freq,time,subject,date,probe,pid
7,0.2800004471950476,2.75,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
8,0.6799971677646987,3.25,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
9,0.3200013415851427,3.75,ZFM-04080,2022-07-07,probe00,8f914cf1-3466-4fa4-a49d-a8c9182da684
0,0.3199988074798732,-0.75,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
1,0.20000044719504756,-0.25,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
2,0.19999985093498412,0.25,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
3,0.15999955280495243,0.75,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
4,5.96260063423675e-07,1.25,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
5,4.471950475677562e-07,1.75,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
6,0.11999910560990486,2.25,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
7,1.1925201268473501e-06,2.75,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
8,0.19999970186996827,3.25,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
9,0.3199998509349842,3.75,ZFM-04080,2022-07-05,probe00,c941ee0a-5552-4a96-9464-f57c95c7837c
0,0.3599992546749208,-0.75,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
1,0.20000163971517446,-0.25,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
2,0.4799976149597464,0.25,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
3,0.12000089439009515,0.75,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
4,4.471950475677563e-07,1.25,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
5,2.981300317118375e-07,1.75,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
6,0.08000014906501585,2.25,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
7,0.19999985093498418,2.75,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
8,0.27999895654488904,3.25,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
9,0.08000119252012683,3.75,ZFM-04122,2022-05-10,probe00,fb97e357-0c74-43a4-9556-1f18d6d63f9d
