,time,coact,region1,region2,opto,region_pair,subject,date
18,2.7000000000000015,0.46808510638297873,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
19,2.9000000000000012,0.5,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
20,3.100000000000002,0.41304347826086957,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
21,3.300000000000001,0.42857142857142855,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
22,3.5000000000000013,0.4222222222222222,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
23,3.7000000000000015,0.3469387755102041,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
24,3.9000000000000017,0.45454545454545453,Amygdala,Hippocampus,0,Amygdala-Hippocampus,ZFM-04820,2022-09-13
0,-0.9,0.3333333333333333,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
1,-0.7,0.375,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
2,-0.4999999999999999,0.42105263157894735,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
3,-0.2999999999999998,0.5135135135135135,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
4,-0.09999999999999976,0.4722222222222222,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
5,0.10000000000000042,0.45714285714285713,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
6,0.3000000000000004,0.5,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
7,0.5000000000000003,0.42105263157894735,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
8,0.7000000000000005,0.47368421052631576,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
9,0.9000000000000007,0.43902439024390244,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
10,1.100000000000001,0.4418604651162791,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
11,1.3000000000000007,0.4186046511627907,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
12,1.5000000000000009,0.4,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
13,1.700000000000001,0.5151515151515151,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
14,1.9000000000000008,0.5263157894736842,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
15,2.100000000000001,0.6341463414634146,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
16,2.300000000000001,0.6428571428571429,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
17,2.5000000000000013,0.5348837209302325,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
18,2.7000000000000015,0.4444444444444444,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
19,2.9000000000000012,0.3333333333333333,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
20,3.100000000000002,0.37209302325581395,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
21,3.300000000000001,0.2857142857142857,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
22,3.5000000000000013,0.3076923076923077,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
23,3.7000000000000015,0.3023255813953488,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
24,3.9000000000000017,0.34782608695652173,Midbrain,Frontal cortex,1,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
0,-0.9,0.4146341463414634,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
1,-0.7,0.5405405405405406,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
2,-0.4999999999999999,0.39473684210526316,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
3,-0.2999999999999998,0.3684210526315789,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
4,-0.09999999999999976,0.3333333333333333,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
5,0.10000000000000042,0.3,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
6,0.3000000000000004,0.2926829268292683,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
7,0.5000000000000003,0.3783783783783784,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
8,0.7000000000000005,0.25,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
9,0.9000000000000007,0.2857142857142857,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
10,1.100000000000001,0.325,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
11,1.3000000000000007,0.41025641025641024,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
12,1.5000000000000009,0.5,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
13,1.700000000000001,0.4473684210526316,Midbrain,Frontal cortex,0,Frontal cortex-Midbrain,ZFM-04820,2022-09-14
