,r,r_baseline,time,region_1,region_2,region_pair,subject,eid,date,sert-cre
58,0.06757930316213753,0.044284977493595036,2.7,Hippocampus,Thalamus,Hippocampus-Thalamus,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
59,0.059346344188489226,0.03605201851994673,2.9000000000000004,Hippocampus,Thalamus,Hippocampus-Thalamus,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
60,0.0048808354410354885,0.004588251723791255,-0.9,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
61,0.02674194788600471,0.026449364168760474,-0.7000000000000001,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
62,-0.017842867170310937,-0.018135450887555173,-0.5,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
63,-0.026296320896811328,-0.026588904614055563,-0.30000000000000004,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
64,0.01397932332630324,0.013686739609059006,-0.1,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
65,0.02145587962946107,0.021163295912216835,0.1,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
66,0.0075699277194957015,0.007277344002251468,0.30000000000000004,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
67,-0.01394377434788998,-0.014236358065134213,0.5,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
68,-0.028373555075237353,-0.028666138792481588,0.7000000000000001,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
69,0.004663082405550452,0.004370498688306219,0.9,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
70,4.407541548231737e-05,-0.0002485083017619165,1.1,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
71,-0.008418936356722464,-0.008711520073966698,1.3000000000000003,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
72,0.0012356741623111192,0.0009430904450668853,1.5,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
73,-0.024065213777169477,-0.024357797494413712,1.7000000000000002,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
74,0.007967941119065515,0.007675357401821282,1.9,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
75,-0.01040119438678288,-0.010693778104027114,2.1,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
76,0.02501332543606275,0.024720741718818516,2.3000000000000003,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
77,-0.0058401290532509205,-0.006132712770495154,2.5,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
78,0.02278854302244866,0.022495959305204424,2.7,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
79,0.0011583186249943648,0.000865734907750131,2.9000000000000004,Hippocampus,Sensory cortex,Hippocampus-Sensory cortex,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
80,0.02223332020801077,-0.008113791972439763,-0.9,Midbrain,Thalamus,Midbrain-Thalamus,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
81,0.012424685460316203,-0.01792242672013433,-0.7000000000000001,Midbrain,Thalamus,Midbrain-Thalamus,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
82,0.03493350366542422,0.004586391484973688,-0.5,Midbrain,Thalamus,Midbrain-Thalamus,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
83,0.03970278280667094,0.009355670626220405,-0.30000000000000004,Midbrain,Thalamus,Midbrain-Thalamus,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
84,0.04244126876183053,0.012094156581380001,-0.1,Midbrain,Thalamus,Midbrain-Thalamus,ZFM-02600,0d24afce-9d3c-449e-ac9f-577eefefbd7e,2021-08-27,1
