,time,r_mean,r_permut,region1,region2,region_pair,subject,date,probe
3,-0.45000000000000007,-0.001599119656485587,0.1870707442291909,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
4,-0.3500000000000001,-0.0002785646268540443,0.28144345100016255,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
5,-0.2500000000000001,-0.0017414815048597098,0.22953203351881157,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
6,-0.15000000000000013,0.0002851038602479816,0.31345556066345887,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
7,-0.050000000000000155,0.0022943713272548403,0.22927385487474722,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
8,0.04999999999999982,0.0033273607453388754,0.3074388125874508,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
9,0.1499999999999998,0.0032419205278520795,0.23757508348893724,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
10,0.24999999999999978,0.0027004905983473966,0.18816453970207983,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
11,0.34999999999999964,0.002512418007027617,0.3344714967415346,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
12,0.44999999999999973,-0.007049724710515029,0.3255602534233337,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
13,0.5499999999999998,0.0019984363700087993,0.35310236618987867,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
14,0.6499999999999997,0.0022031631712676027,0.3236468854214022,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
15,0.7499999999999996,0.0005636101475105015,0.3187795755571045,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
16,0.8499999999999996,0.003169469649434292,0.20295660916995467,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
17,0.9499999999999997,0.0008084441850010782,0.3074650449546943,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
18,1.0499999999999996,-0.0028862300160317268,0.309753439512625,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
19,1.1499999999999995,0.0007559874543750899,0.30455807318695777,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
20,1.2499999999999996,0.00391394656935134,0.35141702637894506,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
21,1.3499999999999996,0.0033374547867400296,0.33090635866388973,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
22,1.4499999999999993,0.0025390078617390953,0.3951372283761106,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
23,1.5499999999999994,0.004989501263089602,0.4412895267846356,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
24,1.6499999999999995,0.014152300731478685,0.4650631016850313,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
25,1.7499999999999996,0.0175108759510103,0.4643357568046834,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
26,1.8499999999999996,0.015211262065464155,0.4437996776242509,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
27,1.9499999999999993,0.013598500506512063,0.47274829618250075,Frontal cortex,Thalamus,Frontal cortex-Thalamus,ZFM-02181,2021-07-14,probe00
