time,state_incr,state_decr,subject,pid,region
-0.7250000000000001,-0.02600000000000001,0.06699999999999998,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.675,0.05399999999999999,0.026999999999999996,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.625,0.034,0.046999999999999986,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.5750000000000001,0.013999999999999985,-0.05300000000000002,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.525,0.05399999999999999,-0.05300000000000002,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.475,-0.006000000000000005,0.0069999999999999785,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.42500000000000004,-0.02600000000000001,-0.05300000000000002,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.375,-0.006000000000000005,-0.033,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.32500000000000007,-0.006000000000000005,-0.05300000000000002,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.275,-0.006000000000000005,-0.07300000000000001,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.225,-0.006000000000000005,-0.013000000000000012,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.17500000000000002,-0.006000000000000005,-0.013000000000000012,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.125,0.05399999999999999,0.0069999999999999785,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.07500000000000001,0.05399999999999999,-0.013000000000000012,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
-0.025,0.013999999999999985,-0.05300000000000002,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.025,-0.006000000000000005,-0.05300000000000002,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.07500000000000001,0.034,-0.033,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.125,0.034,-0.033,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.17500000000000002,0.05399999999999999,-0.013000000000000012,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.225,0.013999999999999985,-0.033,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.275,0.034,-0.033,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.32500000000000007,0.034,-0.033,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.375,0.013999999999999985,-0.09300000000000001,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.42500000000000004,0.034,-0.05300000000000002,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.475,0.034,-0.07300000000000001,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.525,0.034,-0.07300000000000001,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.5750000000000001,0.05399999999999999,-0.11300000000000002,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.625,0.094,-0.11300000000000002,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.675,0.094,-0.11300000000000002,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.7250000000000001,0.05399999999999999,-0.11300000000000002,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.775,0.07399999999999998,-0.11300000000000002,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.8250000000000001,0.05399999999999999,-0.09300000000000001,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
0.875,0.11399999999999999,-0.09300000000000001,ZFM-04811,e4cf7b8d-7e0e-4483-b4a5-0fa316ab7be4,Midbrain
