,stimOn_times,feedback_times,goCue_times,probabilityLeft,contrastLeft,contrastRight,feedbackType,choice,firstMovement_times,signed_contrast,laser_stimulation,laser_probability,probe_trial,correct,right_choice,stim_side,time_to_choice,reaction_times,rt_log,pupil,whisking,sniffing,p_engaged,p_exploratory,p_disengaged,state,state_switch
348,1993.6046196019936,1994.007246001994,1993.6024198219936,0.2,,0.0625,1.0,-1.0,1993.7451027800028,0.0625,1.0,1.0,0,1.0,1.0,1,0.40482618000032744,0.40482618000032744,1.607268590447426,14.512391548119183,10.037278203169505,0.8055153155746527,0.5575621700573957,0.3337565495356292,0.10868128040697492,1,1
349,1997.4211045819975,1997.6910775819977,1997.4010732519973,0.2,,0.0,1.0,-1.0,1997.4371027800028,0.0,1.0,0.75,0,1.0,1.0,1,0.290004330000329,0.290004330000329,1.4624044823169244,15.352050960392848,12.78869325319926,0.7172521651427446,0.5514315955328509,0.3345969184981278,0.11397148596902118,1,0
350,2002.6709795420027,2003.0933373020032,2002.6703462720027,0.2,,0.0,-1.0,1.0,2002.8621027800027,0.0,1.0,0.75,0,0.0,0.0,1,0.4229910300005031,0.4229910300005031,1.626331157770812,13.897194468379514,10.679443049430848,1.3406992630712942,0.5536578667064131,0.3355321756571106,0.11080995763647629,2,1
351,2008.987314512009,2009.3768755520093,2008.968983012009,0.2,,0.25,1.0,-1.0,2009.1201027800028,0.25,1.0,1.0,0,1.0,1.0,1,0.40789254000037545,0.40789254000037545,1.6105457625215598,14.54435761018713,9.924117223421733,0.8724130268817848,0.5632451735898636,0.33986598180921523,0.09688884460092122,1,1
352,2012.5869878420126,2012.7879344120129,2012.5856213120126,0.2,,0.0625,-1.0,1.0,2012.5101027800029,0.0625,1.0,1.0,0,0.0,0.0,1,0.20231310000031044,0.20231310000031044,1.3060240047364542,13.354700545350813,14.210440063476563,1.0958654795991405,0.5514260558424005,0.3345911326649952,0.11398281149260439,2,1
353,2020.6698794720207,2021.0449086320211,2020.6538810720206,0.2,,1.0,1.0,-1.0,2020.8041027800027,1.0,1.0,1.0,0,1.0,1.0,1,0.39102756000056615,0.39102756000056615,1.5922073679696733,14.297862350229252,9.818980391820272,1.098117810483611,0.5676672505810539,0.3417262999437974,0.09060644947514866,1,1
354,2028.3861744320284,2028.7466717120287,2028.3658098020285,0.2,,1.0,1.0,-1.0,2028.546102780003,1.0,1.0,1.0,0,1.0,1.0,1,0.3808619100002488,0.3808619100002488,1.5807675410414226,15.043857581757697,9.120072321097057,0.9590364665987453,0.5520866188816191,0.3348103033262023,0.11310307779217862,1,0
355,2033.4858644120336,2033.825130482034,2033.4867643220334,0.2,,1.0,1.0,-1.0,2033.622102780003,1.0,1.0,1.0,0,1.0,1.0,1,0.33836616000053255,0.33836616000053255,1.5293869227478618,14.241470075642907,10.664569115638733,0.6416395697549988,0.550154154791278,0.33354747482706526,0.11629837038165658,1,0
356,2039.5688893820395,2039.9220873920399,2039.5643898320395,0.2,,0.25,1.0,-1.0,2039.6941027800028,0.25,1.0,1.0,0,1.0,1.0,1,0.3576975600003607,0.3576975600003607,1.5535159776608694,13.835853695848986,9.760351276397705,0.8956194075329622,0.5523453028131824,0.3349976183972341,0.11265707878958359,1,0
357,2045.6851110320456,2046.4300698620464,2045.6793449420456,0.2,,0.0,1.0,-1.0,2046.066102780003,0.0,1.0,0.75,0,1.0,1.0,1,0.7507249200007209,0.7507249200007209,1.8754808323299181,15.594726001808857,5.561939231554667,0.35339248931375444,0.5516180567178534,0.33461649525695625,0.1137654480251904,0,1
